group_type,group,points,mean_delta_vector_error_mps,median_delta_vector_error_mps,p90_delta_vector_error_mps,max_delta_vector_error_mps,mean_delta_floor10_relative_error,candidate_worse_gt5mps_points,candidate_better_gt5mps_points,baseline_label,candidate_label
all,all_holdout_points,530,0.18614012041591238,0.0,0.17450260768539488,23.855428490192683,0.01104149066286871,7,3,tp26_thr11_preserve,tp26_sparse_temporal_cma
speed,0-5mps_calm,34,-0.05478359600816594,0.0,6.340973111473856e-07,2.7986087083098354e-05,-0.005478359600816599,0,0,tp26_thr11_preserve,tp26_sparse_temporal_cma
speed,5-15mps_light,129,0.3053964583765216,0.0,0.07207078389116417,23.855428490192683,0.024889923015459746,2,0,tp26_thr11_preserve,tp26_sparse_temporal_cma
speed,15-30mps_moderate,205,0.2309505436831441,0.0,0.19149776675326763,23.125951831018952,0.012309949767377357,4,2,tp26_thr11_preserve,tp26_sparse_temporal_cma
speed,30-60mps_strong,137,0.093998426193332,0.0,0.1498747175684886,10.961688712742294,0.0019883515767992375,1,0,tp26_thr11_preserve,tp26_sparse_temporal_cma
speed,60mps_plus_extreme,25,0.03592468442435571,0.0,0.42430762012033196,3.9331253727275115,0.0012604136168008772,0,1,tp26_thr11_preserve,tp26_sparse_temporal_cma
altitude,0-3km,39,-0.03879826993467965,0.0,0.0015581286047799039,0.18576051740000832,-0.003891709006588944,0,0,tp26_thr11_preserve,tp26_sparse_temporal_cma
altitude,3-6km,47,0.5192770656331007,0.0,0.0352881469534422,23.855428490192683,0.03903792750133365,1,0,tp26_thr11_preserve,tp26_sparse_temporal_cma
altitude,6-9km,85,0.06872060669532468,0.0,0.011655555084947514,13.857299246256233,0.005017238019778553,1,1,tp26_thr11_preserve,tp26_sparse_temporal_cma
altitude,9-12km,137,0.15040754156325992,0.0,0.07972206577176455,6.125847438720363,0.011106747732618482,2,1,tp26_thr11_preserve,tp26_sparse_temporal_cma
altitude,12km+,222,0.2221364391885636,0.0,0.2983351059763385,23.125951831018952,0.010004029004345926,3,1,tp26_thr11_preserve,tp26_sparse_temporal_cma
