stratum,category,points,frames,point_weighted_rmse_vector,point_weighted_mae_vector,p50_vector_error,p90_vector_error,p95_vector_error,p99_vector_error,max_vector_error,sse_share_of_all_points,mean_alt_m,mean_truth_speed_mps,mean_prediction_speed_mps,mean_nearest_train_distance_vox,mean_nearest_role_gap_mps
all_holdout_points,official_baseline,28,8,10.557681197028645,4.977397939698404,2.7247562149914515,7.456315692216215,9.695945881904668,40.443336310521545,51.527213507048124,1.0,10107.142857142857,21.195378614530163,21.22575267492595,0.8318376112727573,6.77309461443601
single_holdout_frame,support_tail,0,0,,,,,,,,0.0,,,,,
multi_holdout_ge2_frame,support_reference,28,8,10.557681197028645,4.977397939698404,2.7247562149914515,7.456315692216215,9.695945881904668,40.443336310521545,51.527213507048124,1.0,10107.142857142857,21.195378614530163,21.22575267492595,0.8318376112727573,6.77309461443601
multi_holdout_ge3_frame,support_reference,22,5,11.801354641475202,5.639817898537957,3.0487946595992437,8.134572041015955,10.364406397022561,42.90642013197185,51.527213507048124,0.9817282423241026,10272.727272727272,22.863832167134376,23.007301110435197,0.4090909090909091,5.709752773842134
alt_9_12km,high_alt_tail,7,6,19.533799651760752,8.524450785368892,1.1566250042583028,22.56381702821828,37.045515267633164,48.63087385916511,51.527213507048124,0.8558080736130248,10357.142857142857,27.99991296700382,27.59620767163074,0.5714285714285714,13.854074073231914
alt_12km_plus,high_alt_tail,12,7,4.238971453981196,3.424934750448937,3.251454903199127,6.980482714912881,7.625879779416148,8.123267768535957,8.247614765815909,0.06908871434429986,13708.333333333334,25.041292358160902,24.12821215971694,1.004615428178118,3.5906625893377355
alt_12km_plus_single_holdout,combined_tail,0,0,,,,,,,,0.0,,,,,
context_only_nearest_support,context_tail,11,6,5.101972016768253,4.26188872450085,3.9382492452492035,7.117187517816345,8.796502000345944,10.139953586369625,10.475816482875544,0.09174316336239924,10954.545454545454,21.363636363636363,22.807662233242993,0.45454545454545453,0.0
alt_12km_plus_context_only,combined_tail,7,6,3.9211664838873985,3.316287795174818,3.9382492452492035,5.31006458541278,6.21362605161456,6.936475224575987,7.117187517816345,0.03448525842430529,13928.57142857143,26.571428571428573,26.352358837876597,0.14285714285714285,0.0
single_holdout_context_only,combined_tail,0,0,,,,,,,,0.0,,,,,
nearest_context_wind,support_tail,20,7,12.36142583999939,6.027013043153335,3.0487946595992437,8.470434937521876,12.528386334084203,43.72744807245528,51.527213507048124,0.9792013696069635,10200.0,19.573530060342232,19.68747911989139,0.3,5.568919522555711
nearest_current_wind_train,support_reference,8,6,2.8485243388132018,2.353360181061071,1.6712317478416554,4.21849080740601,4.984315148093858,5.596974620644137,5.750139488781707,0.020798630393036265,9875.0,25.25,25.07143656251236,2.161431639454651,9.783532344136756
nearest_distance_gt4vox,remote_support_tail,1,1,5.750139488781707,5.750139488781707,5.750139488781707,5.750139488781707,5.750139488781707,5.750139488781707,5.750139488781707,0.010594040802328878,14500.0,32.0,32.9993460367645,9.055385138137417,13.436997305702668
role_gap_ge30mps,role_conflict_tail,1,1,2.4140513325203035,2.4140513325203035,2.4140513325203035,2.4140513325203035,2.4140513325203035,2.4140513325203035,2.4140513325203035,0.0018672302844871902,7500.0,23.577849719008203,21.736583720500846,0.0,35.59384631645852
role_conflict_at_point,role_conflict_tail,4,3,26.045075327920397,15.628344678108526,4.753703466865948,38.197056135297174,44.86213482117263,50.194197769873014,51.527213507048124,0.8693929379787007,8500.0,17.64446242975205,17.293283482515065,0.5,21.25530810686374
qc_review_flag,qc_tail,15,7,14.100741136224359,7.203395904634238,3.9382492452492035,9.132364896851863,22.791235590127272,45.78001792366394,51.527213507048124,0.9556085345645666,10800.0,22.23852331460055,22.89273688374967,1.0036923425424944,6.563881982210509
no_qc_review_flag,clean_reference,13,6,3.2645672862563155,2.408938749387825,1.4749878601360231,5.204569224516133,6.668162333119566,7.931724279276638,8.247614765815909,0.044391465435433056,9307.692307692309,19.99175011444896,19.302309357052437,0.633543690576907,7.014493805465433
high_vector_error_ge30mps,error_tail,1,1,51.527213507048124,51.527213507048124,51.527213507048124,51.527213507048124,51.527213507048124,51.527213507048124,51.527213507048124,0.8507034531344321,10000.0,30.000000000000004,25.695638558662935,0.0,28.646333322917325
extreme_truth_speed_ge120mps,qc_tail,0,0,,,,,,,,0.0,,,,,
extreme_prediction_speed_ge120mps,qc_tail,0,0,,,,,,,,0.0,,,,,
