stratum,category,points,frames,point_weighted_rmse_vector,point_weighted_mae_vector,p50_vector_error,p90_vector_error,p95_vector_error,p99_vector_error,max_vector_error,sse_share_of_all_points,mean_alt_m,mean_truth_speed_mps,mean_prediction_speed_mps,mean_nearest_train_distance_vox,mean_nearest_role_gap_mps
all_holdout_points,official_baseline,530,200,14.769035584178607,6.854454224139126,3.729626571387424,11.43010917717134,23.889507208286076,63.54279087926638,180.13178895959052,1.0,10138.67924528302,25.292015144549474,22.652372192822927,1.3495646069226146,9.872790694766827
single_holdout_frame,support_tail,57,57,16.71190144930091,8.361501218013133,4.12037390642129,14.608985086449367,37.08449114102233,70.60496090575396,86.0,0.1377039646269018,10096.491228070176,26.063808199336094,21.92955877093059,1.7402599090794866,5.252684629435201
multi_holdout_ge2_frame,support_reference,473,143,14.517361651826516,6.672843909866783,3.6922025292878957,11.1377197947436,22.974449132066137,61.645835912244564,180.13178895959052,0.8622960353730987,10143.763213530656,25.199008370505425,22.739476558674646,1.3024829320326743,10.42954766247064
multi_holdout_ge3_frame,support_reference,367,90,15.543965673861672,6.872853913311506,3.6766645495584096,11.249889140186575,24.61533057928241,64.69100221857984,180.13178895959052,0.7670251035372547,10117.16621253406,25.822588123362117,23.06201171113819,1.2362076017645645,10.307281143564664
alt_9_12km,high_alt_tail,137,114,11.451701618793974,6.182682145066414,4.001475488753634,10.571315413952181,23.71618549647419,55.99546646911326,64.82213260121097,0.15541054060938378,10313.868613138686,24.33411866340523,22.1930613253114,1.223432008415204,6.3953862366317225
alt_12km_plus,high_alt_tail,222,154,19.917697780481415,8.521037837563778,3.830975285441341,14.660608285320432,35.52349023310765,86.04838161944294,180.13178895959052,0.761817785976406,13763.513513513513,34.45755687549251,30.058155747233965,1.7005833620198707,13.815310775834014
alt_12km_plus_single_holdout,combined_tail,20,20,22.260173715578915,11.302215773844011,4.696318168415755,17.316370584990825,43.0258033785876,77.40516067571745,86.0,0.08572489280051838,12975.0,39.09991623074118,31.442151122724134,2.1206428838022124,4.628218636525627
context_only_nearest_support,context_tail,184,131,17.305343892682995,9.069009550664008,4.719482939550971,17.305509885532267,36.058981613049845,86.01041123456366,98.60577836731333,0.47664840900642463,10315.217391304348,25.144037130011814,20.67353071232867,1.7128952875669896,0.0
alt_12km_plus_context_only,combined_tail,82,76,21.736368885187936,10.5519325349274,4.46918825386299,29.350403197688447,40.57580337858758,88.44470436035758,98.60577836731333,0.3351256741986098,13835.365853658537,34.96341463414634,28.30436875771686,2.2526046874431223,0.0
single_holdout_context_only,combined_tail,32,32,22.0515510790217,12.268998218423466,4.895934130863623,34.936169207123925,48.749188398148135,77.4777462156853,86.0,0.13460094848292925,10390.625,28.25,21.06647042689574,2.0312471471145086,0.0
nearest_context_wind,support_tail,316,174,14.435061580739141,7.406072612387443,4.104612409706393,13.1127760203056,29.761162938713895,71.77331989018182,98.60577836731333,0.5695662161067272,9969.93670886076,23.289117646692763,20.18496766373672,1.2057821035345606,7.109428611055443
nearest_current_wind_train,support_reference,214,118,15.248824301027812,6.039914921865912,3.2695697027346653,10.064866866850753,17.382195497129427,53.62037634719637,180.13178895959052,0.43043378389327375,10387.85046728972,28.249564720823876,26.295829347922187,1.5618789577199277,13.953269285667753
nearest_distance_gt4vox,remote_support_tail,27,26,32.499519736788024,20.511218711173825,9.077396510047027,62.994407566288224,82.1,86.04531949163008,86.06124255625687,0.2466820263518419,11148.148148148148,34.0,17.395315063905276,7.815133001614622,8.923707257455337
role_gap_ge30mps,role_conflict_tail,38,33,32.39282012008626,12.109629431387056,3.1119006272975076,18.900072174121537,46.445052528287526,135.83495253071607,180.13178895959052,0.3449061767277468,12184.21052631579,37.50491261954592,31.01807514763933,1.3716919630438762,74.70622267008281
role_conflict_at_point,role_conflict_tail,111,72,14.228670934026509,7.997888132446131,3.5161437982711123,19.601465493439648,33.52595849755201,59.522269830586886,64.82213260121097,0.19438891986674736,9797.297297297297,28.820497291973137,26.471527955083694,0.9835257066416024,25.145408712169658
qc_review_flag,qc_tail,302,167,18.94549481954281,8.972553799951939,4.36037861242693,18.56321030610055,35.52349023310765,85.87000000000012,180.13178895959052,0.9376455676044665,10364.238410596026,28.263521733145666,24.124467674836257,1.547972369886391,11.444055028938397
no_qc_review_flag,clean_reference,228,125,5.62284760802373,4.048901277229173,3.248632856273414,7.913252502382422,10.02386230438797,22.829123810859233,29.35588562405288,0.06235443239553413,9839.912280701754,21.35607220702294,20.702491335068434,1.086761341944279,7.791554603013262
high_vector_error_ge30mps,error_tail,21,19,66.82070066420528,57.65498192354156,43.98054248820456,86.06124255625687,98.60577836731333,163.82658684113514,180.13178895959052,0.8110753485092653,12619.047619047618,64.66666666666667,24.288151689694203,5.411892393756017,21.854112584973986
extreme_truth_speed_ge120mps,qc_tail,2,1,134.34452561331054,120.27119919084083,120.27119919084083,168.15967100584058,174.14572998271555,178.93457716421554,180.13178895959052,0.31224090753686745,14000.0,190.0,103.31682791490763,2.2882456112707374,131.66102047050882
extreme_prediction_speed_ge120mps,qc_tail,1,1,60.410609422091134,60.410609422091134,60.410609422091134,60.410609422091134,60.410609422091134,60.410609422091134,60.410609422091134,0.031567943490349484,13500.0,182.0,153.15692841554971,1.4142135623730951,131.66102047050882
